accuracy,consistency,conciseness,bertscore,Relevance,Informativeness,Understandability,Specificity,Engagement
66.67,100,90,0.77,66.80202711,68.82753067,60.48869909,63.72111311,61.20139609
33.33,100,100,0.71,61.65153267,59.79879069,62.58677342,52.46167013,64.68930731
25,100,100,0.69,72.34748324,69.82133569,69.05021644,72.13982858,59.66693549
33.33,100,100,0.74,62.23890588,73.84857622,66.68207949,67.27580256,66.02298744
100,100,100,0.83,70.53063067,71.3053534,71.45307778,62.656612,72.44581
33.33,100,100,0.74,71.66501507,75.92415044,75.06038844,69.50680311,73.92843011
40,100,100,0.76,71.67745,72.4180766,70.65228724,69.60181793,69.88118184
66.67,100,100,0.71,71.22978007,55.9328808,62.92482533,60.20729822,39.84870178
40,100,90,0.73,54.06196238,72.89226253,61.1568366,70.55658133,64.06925947
66.67,100,90,0.73,52.90515438,55.16466079,51.55203876,71.54731844,60.69735962
66.67,100,100,0.74,75.12098733,66.10375751,72.92056244,67.01152862,70.19195589
50,100,60,0.71,70.16142911,66.67122333,66.33509711,61.8391124,62.00014322
60,100,90,0.74,62.42459054,69.23892882,66.31380133,67.09179362,65.27408713
25,100,90,0.76,54.05051941,67.35675542,61.84098618,63.63058918,71.24584724
50,100,100,0.74,70.26963918,71.76960271,70.11461133,68.59703733,61.91469484
50,100,100,0.76,68.2318732,70.02061122,72.55752836,60.32401284,66.908254
33.33,100,90,0.72,67.69692311,53.6254513,60.18212744,45.77695756,50.65248633
60,50,100,0.74,60.23731251,70.29537756,62.35916056,52.56888476,69.28380724
33.33,100,90,0.75,77.15854289,71.75630278,69.5569396,58.74735082,65.12043178
33.33,100,100,0.7,64.50645329,67.16779444,63.58339213,55.24627669,64.99579653
0,0,90,0.72,72.67340938,72.39313422,73.52864156,70.71788516,65.209262
33.33,100,70,0.72,42.47851435,45.75649145,64.10900584,69.872512,65.42877467
50,100,90,0.74,70.31424978,61.35694711,53.03665353,59.02481769,65.42188933
100,0,100,0.82,71.63200133,61.1286964,69.85694244,61.67883182,73.28146822
25,100,100,0.74,74.23953322,74.4222,62.20314753,67.37752973,71.00506478
33.33,100,90,0.66,55.18129984,59.24396889,51.36021013,38.53247041,52.47576538
25,100,100,0.8,77.79184489,60.00921156,74.04864111,71.40602009,76.55044022
100,100,100,0.75,73.58752807,73.13724889,78.04068711,72.83745733,71.36556711
66.67,100,100,0.75,68.02560178,67.61852053,69.25273182,66.47888902,49.27504282
33.33,100,100,0.72,73.37272409,71.22861967,71.48649,69.836332,67.95543622
133.33,66.67,80,0.75,68.17886744,74.69424118,73.48580044,69.9130646,69.74965127
62.5,75,100,0.7,60.13898753,64.26082049,66.464046,63.50788282,51.22653574
0,0,100,0.72,67.15177744,46.05350218,69.55272804,66.15788662,55.31842377
0,0,100,0.62,70.10022,74.76990356,73.38159616,66.0973206,69.47806551
0,0,100,0.72,66.3738018,62.15370113,65.39493056,61.58875089,53.75097549
100,100,100,0.75,70.76545756,76.76789022,73.07774644,73.507704,70.49157867
50,100,100,0.7,69.97207162,69.63562822,65.551689,68.26279844,58.4039048
50,100,50,0.73,62.61566047,69.55020956,70.80160022,65.81741307,65.8346062
33.33,100,70,0.68,57.12795509,60.17477761,50.82314569,59.02293109,60.79670471
0,0,80,0.76,62.63748876,61.98552276,57.09916411,59.71178373,63.28346096
33.33,100,100,0.8,74.47389156,72.77081022,73.55560733,73.63244724,71.94249093
40,100,100,0.77,63.29648209,52.22743886,66.52622944,61.58137571,60.24199782
33.33,100,100,0.72,61.1243562,68.95693936,67.40169964,67.65889073,63.80893898
0,0,100,0.77,77.84899156,66.0897224,71.08734193,69.89394816,70.46732033
0,0,90,0.67,63.34020462,64.42397689,58.50535443,58.93870198,61.40115171
66.67,100,100,0.74,68.129219,58.3244908,56.9195206,58.11438427,62.70271778
33.33,100,70,0.72,64.03397664,61.17010022,64.84963904,57.50865658,51.41509262
33.33,100,100,0.74,70.87769533,66.41388138,59.08206807,63.39298307,71.32930278
0,0,100,0.69,37.20221016,57.58365862,62.39129533,55.82417426,54.02444422
50,100,90,0.75,69.27651278,69.43094911,65.08366224,65.80992958,64.51306078
33.33,100,100,0.74,73.12003467,67.75774718,73.64286431,65.63681167,68.39289822
20,100,100,0.72,67.83196822,64.47759644,72.5782106,70.04628271,72.47716556
100,100,100,0.77,53.67043054,53.99686384,59.59894311,63.74092244,55.8548068
66.67,100,100,0.76,57.22725653,61.9365774,66.28546058,66.14074969,62.50146747
0,0,100,0.53,69.04070578,62.90865982,68.75377571,69.01773289,47.3351457
