accuracy,consistency,conciseness,bertscore,Relevance,Informativeness,Understandability,Specificity,Engagement
100,100,100,0.84,72.06650804,74.31376707,70.73477844,70.32826178,76.71618613
66.67,100,100,0.74,61.25699829,65.57902867,66.60902838,61.33510204,70.54108347
100,66.67,100,0.74,71.48062022,72.53950836,69.03233293,59.29832476,67.256547
100,50,100,0.72,75.80761211,74.24147978,74.46757522,65.95465067,71.39749444
100,50,100,0.88,72.55818058,70.30899189,77.790424,72.86141467,76.25332689
66.67,0,100,0.77,72.26756267,77.80784867,68.931176,64.62939311,65.09316627
20,100,100,0.73,76.46025813,75.70876911,73.41098349,64.98683151,63.75585524
66.67,0,100,0.78,77.03374633,72.4152488,74.71021267,72.80973622,66.93772502
20,100,100,0.73,49.85438072,70.92231933,67.15321389,60.1372848,67.84096527
0,0,100,0.74,73.76070244,71.20929767,61.70175116,54.17736279,77.22832169
66.67,100,100,0.79,78.24571667,79.16511378,76.32352044,68.53508449,73.50942876
25,100,100,0.68,79.13719809,77.76814744,73.58176489,73.73390409,72.70631411
60,100,100,0.74,73.25742471,63.33689753,71.81221962,66.09338389,72.36362978
25,100,100,0.79,47.9993021,80.79407356,74.88075489,71.74555473,77.20313678
50,100,100,0.74,76.83743578,78.01784689,72.16560422,66.67181853,74.42995942
66.67,100,100,0.76,74.97340756,74.95130384,62.75835493,59.5707958,58.80078824
66.67,0,100,0.72,58.43680077,50.74930886,69.7170326,69.0395546,67.5295124
20,100,100,0.7,69.77054809,71.04971618,69.92783098,58.59064098,72.61480304
33.33,100,100,0.75,73.16701951,75.45086011,75.96898036,76.59735844,75.68910778
0,0,100,0.73,69.92551824,74.50108389,61.79606536,60.79273282,63.56605547
57.14,100,100,0.82,80.69015311,79.43693689,76.17622578,73.31141964,79.63558467
66.67,100,100,0.75,70.27195518,69.46330289,67.75557467,72.29816298,68.07713467
100,100,100,0.77,64.79097467,59.04826298,73.03212973,67.469093,66.39998489
50,100,100,0.91,74.04786311,75.05620578,75.34723151,72.18635416,72.84660816
25,100,100,0.75,73.47853678,64.80615938,75.59440422,64.54302876,69.54653344
25,100,100,0.69,73.00126056,78.35804356,70.00002467,63.66741733,72.33134756
33.33,100,0,0.81,70.23917822,77.79459644,73.2006686,73.02854022,78.679672
50,100,100,0.84,78.71642009,73.44584322,59.92430518,63.14612698,70.38911378
33.33,100,100,0.78,77.19403633,72.88055422,69.26837396,68.25063451,70.53889944
60,100,100,0.74,74.66206667,70.02868671,69.283166,50.65900806,78.08792413
100,100,100,0.87,74.42093456,78.18166044,68.60734949,74.17568156,77.91202133
33.33,100,100,0.74,70.86127916,79.43266044,70.43533831,65.81906693,57.17413336
25,100,100,0.8,68.79445622,58.39065933,55.77670389,52.50090804,63.74295733
33.33,100,100,0.77,77.07877667,68.42587496,67.65960371,57.53142514,66.05131613
100,50,100,0.77,73.95734367,72.55786551,77.77570489,66.31267689,78.18545222
50,0,100,0.75,75.15042533,71.40800416,68.23719613,57.731486,77.26173756
25,100,100,0.75,75.19467644,77.66315296,74.03178058,65.79625251,75.09773778
33.33,100,100,0.77,76.59190711,76.41346756,73.21677391,73.63881231,76.73197933
33.33,100,100,0.74,75.634568,67.57471236,67.34522693,62.77745553,70.48712122
20,100,100,0.78,69.81162613,67.94216253,69.796675,55.14079948,55.98036836
0,0,100,0.75,81.43874711,75.65168478,67.44741882,69.48335342,64.04668409
25,100,100,0.75,77.66832022,70.32542156,71.04378044,70.04459467,75.61283422
66.67,100,100,0.76,70.01271718,68.9274534,68.97589533,56.04261343,70.26906978
57.14,33.33,100,0.8,76.43216378,71.47836651,79.4219088,76.44450851,72.04907978
33.33,100,100,0.74,78.97740089,73.28014767,71.69884236,63.47609382,72.2609654
66.67,100,100,0.79,62.17598231,62.00433322,63.79973918,63.40799178,72.2781564
33.33,100,100,0.77,54.5474959,55.79750103,58.44597304,57.4102848,60.50483764
33.33,100,100,0.83,73.197286,72.70828431,69.45245942,69.34136404,73.26570044
0,0,100,0.75,71.1090728,69.12721871,68.67599164,70.35092873,58.53793593
50,100,100,0.89,66.15735904,61.29084349,76.70232733,72.31514133,69.56599667
66.67,100,100,0.74,79.52241467,76.50920278,75.25348222,67.34024438,78.82079822
66.67,66.67,80,0.85,76.21227622,72.33545911,70.79769356,60.96278916,75.01199631
33.33,100,100,0.77,70.27398527,71.24295653,74.37289942,69.97048789,72.74589533
0,0,100,0.73,77.66552978,69.22436653,67.47261838,58.33343422,64.66357769
66.67,0,100,0.78,77.6909048,79.75089533,74.74438889,68.45519,75.56761133
50,100,100,0.74,75.35193651,77.14247616,67.01595087,62.71509467,57.22099256
20,100,100,0.78,74.65072031,73.25493524,75.95379258,75.66633833,75.39436993
0,0,100,0.75,58.45054704,59.86756496,53.73373695,64.97045027,51.67568422
28.57,100,100,0.76,75.15835556,78.97231876,72.39609971,70.28358133,73.25541927
100,0,100,0.81,75.12694622,78.01416844,76.34936311,69.9793424,73.63861916
66.67,100,100,0.86,64.86178,72.15138716,68.85772667,64.17870744,66.38673751
100,100,100,0.96,76.62388124,78.19817089,75.80458444,71.30070289,77.16487889
66.67,0,100,0.79,79.42805978,75.56385578,73.19841547,68.30578449,72.95679067
75,100,100,0.82,77.44209111,76.13583133,71.45665889,73.14213644,76.1293528
66.67,100,100,0.76,78.55238356,75.5174288,74.75742589,71.09704984,76.16691844
50,50,100,0.87,79.02127822,79.52379422,78.36722333,71.057314,75.556642
